0x80000001,PTR,1,1,0x0,0x20106,1,var,0x0,RegCreateKeyEx,,,
mem,3,var,var,PostMessage,,,,,,,,
mem,4,0x0,CheckDlgButton,,,,,,,,,
mem,expr,var,var,expr,ReadFile,,,,,,,
var,0x1,mem,mem,mem,mem,CompareString,,,,,,
ret,4,PTR,3,LoadString,,,,,,,,
var,expr,var,PTR,expr,WriteFile,,,,,,,
mem,4,mem,CheckDlgButton,,,,,,,,,
mem,4,var,CheckDlgButton,,,,,,,,,
var,0x86000408,var,1,1,1,1,var,DeviceIoControl,,,,
var,expr,var,1,var,WriteFile,,,,,,,
var,PTR,1,0x3,ret,ret,RegSetValueEx,,,,,,
ret,0x1,var,var,expr,var,0x4,SetWindowPos,,,,,
mem,0x0,ret,ret,mem,mem,MultiByteToWideChar,,,,,,
var,3,expr,SetDlgItemText,,,,,,,,,
PTR,0xc0000000,0x3,1,0x3,0x80,1,CreateFile,,,,,
mem,3,1,1,SetTimer,,,,,,,,
var,0x0,mem,mem,1,1,0x5,SetWindowPos,,,,,
mem,3,var,SetDlgItemText,,,,,,,,,
var,PTR,1,0x1,expr,expr,RegSetValueEx,,,,,,
mem,2,var,2,LoadString,,,,,,,,
ret,2,ret,var,SendMessage,,,,,,,,
var,4,var,var,SendMessage,,,,,,,,
mem,0x900e7,var,2,1,1,1,var,DeviceIoControl,,,,
expr,0x67,expr,2,GetLocaleInfo,,,,,,,,
